Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_{kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
r5n10062,33.49,40.54,68.81,U=1.1 g=34%,none,0.1231,2274.4,2000,r5n10062,7.548,4.253,77781.4,146478.6,13331,395048,58499.2,1044805.1
r5n10063,82.97,17.06,20.73,U=0.6 g=18%,screen,0.1259,140.6,2000,r5n10063,7.351,0.7618,43072.2,103798.5,30842,353578.6,54627,863544.2
r5n10064,61.95,1.415,24,U=0.7 g=42%,screen,0.1321,608.1,2060,r5n10064,7.225,0.5491,54730.3,84191.7,36265,346464.9,54983.7,818913.7
r5n10065,62.05,85.21,1.55,U=0.6 g=18%,none,0.1805,1556.8,2060,r5n10065,7.371,2.993,96719.2,114283.5,19404.8,378087.4,58140.2,1201346.3
r5n10066,17.61,56.61,41.54,U=0.7 g=42%,roller,0.1712,488.3,2060 Warm,r5n10066,7.442,4.971,183892.9,85841.2,13039.8,384276.6,61610.6,1221596.8
r5n10067,19.57,95.38,47.86,U=0.6 g=18%,none,0.1917,1469.6,2000,r5n10067,7.508,3.262,80375.7,132119.3,17867.6,387221,58292.2,1196236.8
r5n10068,38.72,11.25,64.21,U=0.3 g=20%,roller,0.1753,2312.9,2000,r5n10068,7.217,0.8499,40933.8,70887.6,30774,311946.6,49914.2,809412.3
r5n10069,2.732,61.42,13.24,U=0.6 g=23% ,none,0.1425,337.2,2000,r5n10069,7.394,2.891,68089.9,109450.4,18118.2,352591.1,53980.8,1008816.9
r5n10070,43.02,78.55,78.92,U=0.7 g=42%,screen,0.1365,1740.8,2060,r5n10070,7.477,8.302,152928.5,111291.7,10598.9,392309.3,60933,1238280.8
r5n10071,43.05,8.948,5.124,U=0.3 g=20%,screen,0.1113,2200.9,2060 Warm,r5n10071,7.221,0.4901,68206.9,86769.6,42812,369593.7,58906.7,846818.6
r5n10072,26.48,74.37,29.85,U=0.3 g=20%,screen,0.1417,1865.1,2060,r5n10072,7.184,3.719,98972,79932.5,17305.7,333673.5,53049.1,1100483.6
r5n10073,76.76,89.62,83.78,U=0.3 g=20%,none,0.1134,333.9,2060 Warm,r5n10073,7.325,5.809,158139.7,83480.8,13758.4,367233.1,58757.8,1315319.9
r5n10074,25.79,43.46,60.62,U=0.3 g=20%,screen,0.1324,2029.4,2060 Warm,r5n10074,7.121,2.411,90526.5,80665.3,20412.3,335207.7,53262.7,981725.7
r5n10075,38.61,57.9,71.72,U=0.6 g=18%,screen,0.1447,1822.4,2060,r5n10075,7.367,2.058,77592.8,114811.4,22109.5,372133.5,57031.2,1064579.8
r5n10076,43.69,18.44,55.64,U=0.6 g=18%,none,0.1216,42.37,2060 Warm,r5n10076,7.216,0.7819,73216,97217.9,32863,367465.5,57658,866713.3
r5n10077,67.2,33.24,89.17,U=0.7 g=42%,screen,0.1113,1297.2,2060,r5n10077,7.341,4.452,98875.3,107849.7,14427.6,362567.9,55898.5,1027247.3
r5n10078,32.13,4.76,71.71,U=0.3 g=20%,screen,0.1953,2395.5,2060 Warm,r5n10078,6.985,0.504,67276.5,58529.2,39623,328782.6,53952.6,830802.5
r5n10079,37.73,58.89,61.02,U=1.1 g=34%,none,0.1511,1592.3,2000,r5n10079,7.585,5.876,102238.3,152276.8,11054.4,412709.2,61177,1147705.1
r5n10080,26.58,37.94,81.35,U=0.3 g=20%,screen,0.1054,742.3,2060,r5n10080,7.257,2.307,69145.4,94379.1,21754.4,341452.6,53240.3,939742.9
r5n10081,73.05,43.43,81.7,U=0.7 g=42%,roller,0.139,2017,2000,r5n10081,7.336,5.531,138143.7,94474.4,12144.1,365567.6,57546.4,1069967.3
r5n10082,95.85,83.78,92.3,U=0.6 g=23% ,screen,0.1382,1268.6,2000,r5n10082,7.482,6.234,100520,130537.5,12227,387220.3,58423.7,1223118.2
r5n10084,71.92,2.761,84.91,U=0.6 g=23% ,none,0.1709,2019.3,2060,r5n10084,7.161,0.7361,53516.4,77475.6,28519,323584.6,51448.5,855256
r5n10085,36.39,71.56,59.66,U=0.6 g=23% ,screen,0.1236,2109.5,2060,r5n10085,7.39,4.36,94657.1,118260.9,15561.3,374793.9,57220.6,1135095.5
r5n10086,63.95,62.77,38.14,U=0.6 g=18%,screen,0.1532,1654.4,2000,r5n10086,7.435,2.21,64287.4,119552,20921.3,367703.5,55844.9,1074527.4
r5n10088,8.324,34.58,24.1,U=0.3 g=20%,screen,0.1958,1249.7,2060 Warm,r5n10088,6.999,1.459,78840.7,62757.7,25752.4,315917.8,51300,921377.1
r5n10089,82.95,58.6,35.1,U=0.6 g=23% ,roller,0.1774,1307.6,2060,r5n10089,7.255,3.824,99062.8,96582.3,16419.2,352485,55031,1120066.1
r5n10090,24.13,60.97,80.39,U=0.6 g=23% ,none,0.1227,1887.9,2060 Warm,r5n10090,7.319,3.787,113942.4,111903.6,15971.6,379443.8,58580.8,1130447.3
r5n10091,15.52,23.58,13.11,U=0.6 g=23% ,none,0.1999,1323.9,2060,r5n10091,7.147,0.999,56605.9,71453.2,28256.1,317603.1,50879,878533.2
r6n10001,9.471,15.44,16.56,U=0.3 g=20%,screen,0.1463,166.5,2060 Warm,r6n10001,7.064,0.6381,68853.5,70443.6,42272,349060.1,56589.9,804226.9
r6n10002,69.45,61.18,13.69,U=0.6 g=23% ,roller,0.1252,345.3,2060 Warm,r6n10002,7.255,3.658,115353,104855.6,16199.4,372091.7,57851,1137083.2
r6n10003,70.75,1.146,27.52,U=0.6 g=23% ,screen,0.148,839.7,2060 Warm,r6n10003,7.139,0.3667,67684.3,76466,38031,348079,55914.2,828706.5
r6n10004,95.87,14.84,58.17,U=0.6 g=23% ,none,0.1674,1838.9,2060 Warm,r6n10004,7.061,1.6,81445.8,78597.6,22286.3,330601.2,52610.5,931145.1
r6n10005,33.43,61.4,88.63,U=0.3 g=20%,none,0.103,562.9,2060 Warm,r6n10005,7.201,3.759,115333.4,89546.8,16876.1,354578.1,55989.9,1110512.6
r6n10006,63.34,50.59,86,U=0.7 g=42%,none,0.1009,1631.7,2060 Warm,r6n10006,7.652,6.212,201190.1,103175.7,11999.9,413971.1,65482.3,1285308.6
r6n10007,52.52,14.3,92.9,U=0.3 g=20%,roller,0.1042,247,2060,r6n10007,7.241,1.299,57853.6,93875.8,26619.7,342813.5,53525.9,857876.7
r6n10008,17.44,50.1,16.07,U=0.6 g=23% ,none,0.1213,1907,2000,r6n10008,7.431,2.442,59484.4,113618.8,19650.3,355285.4,54116.3,968476.2
r6n10009,55.17,23.51,45.83,U=0.3 g=20%,roller,0.1958,1900.5,2060 Warm,r6n10009,6.955,1.441,79947.2,60350.8,24920,312143.8,50824.6,922141.2
r6n10010,48.56,90.69,88,U=0.6 g=18%,roller,0.1206,1559.6,2060 Warm,r6n10010,7.428,3.318,122926,134310.1,17050.4,414163.8,62930,1294514.9
